REF.	X	Y	Diameter
1	1475	389.2	3.2
2	1375	263	3.2
3	1275	137	3.2
4	1275	10.8	3.2
5	75	389.2	3.2
6	175	389.2	3.2
7	75	10.8	3.2
8	275	389.2	3.2
9	175	10.8	3.2
10	375	389.2	3.2
11	275	10.8	3.2
12	475	389.2	3.2
13	375	10.8	3.2
14	575	389.2	3.2
15	475	263	3.2
16	475	10.8	3.2
17	675	389.2	3.2
18	475	137	3.2
19	575	263	3.2
20	575	10.8	3.2
21	775	389.2	3.2
22	575	137	3.2
23	675	263	3.2
24	675	10.8	3.2
25	875	389.2	3.2
26	675	137	3.2
27	775	263	3.2
28	775	10.8	3.2
29	975	389.2	3.2
30	775	137	3.2
31	875	263	3.2
32	875	10.8	3.2
33	1075	389.2	3.2
34	875	137	3.2
35	975	263	3.2
36	975	10.8	3.2
37	1175	389.2	3.2
38	975	137	3.2
39	1075	263	3.2
40	1075	10.8	3.2
41	1275	389.2	3.2
REF.	X	Y	Diameter
42	1075	137	3.2
43	1175	263	3.2
44	1175	10.8	3.2
45	1375	389.2	3.2
46	1175	137	3.2
47	1275	263	3.2
48	1429.69	360	7
49	1397.69	296	7
50	1365.69	232	7
51	1333.69	168	7
52	1301.69	104	7
